Frage;Antwort;FalscheAntwort1;FalscheAntwort2;FalscheAntwort3
Was ist die DSGVO?;Die Datenschutz-Grundverordnung ist eine EU-Verordnung zum Schutz personenbezogener Daten.;Die Datenschutz-Grundverordnung ist nicht eine EU-Verordnung zum Schutz personenbezogener Daten.;Die Datenschutz-Grundverordnung ist ausschließlich eine EU-Verordnung zum Schutz personenbezogener Daten.;Die Datenschutz-Grundverordnung ist eine EU-Verordnung zum Schutz personenbezogener Daten nicht.
Was sind personenbezogene Daten?;Das sind Informationen, die sich auf eine identifizierte oder identifizierbare natürliche Person beziehen.;Das sind nicht Informationen, die sich auf eine identifizierte oder identifizierbare natürliche Person beziehen.;Das sind Informationen, die sich auf eine identifizierte und identifizierbare natürliche Person beziehen.;Das sind Informationen nicht, die sich auf eine identifizierte oder identifizierbare natürliche Person beziehen.
Was bedeutet Datenminimierung?;Es sollen nur solche personenbezogenen Daten verarbeitet werden, die für den Zweck erforderlich sind.;Es sollen nur solche personenbezogenen Daten verwirft werden, die für den Zweck erforderlich sind.;Es sollen nur solche personenbezogenen Daten verarbeitet nicht werden, die für den Zweck erforderlich sind.;Es sollen beliebig viele solche personenbezogenen Daten verarbeitet werden, die für den Zweck erforderlich sind.
Was ist Zweckbindung?;Daten sollen nur für festgelegte, eindeutige und legitime Zwecke verarbeitet werden.;Daten sollen nur für festgelegte, eindeutige und legitime Zwecke verwirft werden.;Daten sollen nur für festgelegte, eindeutige und legitime Zwecke verarbeitet nicht werden.;Daten sollen beliebig viele für festgelegte, eindeutige und legitime Zwecke verarbeitet werden.
Was ist eine Einwilligung?;Eine Einwilligung ist eine freiwillige, konkrete, informierte und unmissverständliche Zustimmung zur Datenverarbeitung.;Eine Einwilligung ist nicht eine freiwillige, konkrete, informierte und unmissverständliche Zustimmung zur Datenverarbeitung.;Eine Einwilligung ist eine freiwillige, konkrete, informierte oder unmissverständliche Zustimmung zur Datenverarbeitung.;Eine Einwilligung ist ausschließlich eine freiwillige, konkrete, informierte und unmissverständliche Zustimmung zur Datenverarbeitung.
Was ist ein Auftragsverarbeiter?;Ein Auftragsverarbeiter verarbeitet personenbezogene Daten im Auftrag eines Verantwortlichen.;Ein Auftragsverarbeiter verwirft personenbezogene Daten im Auftrag eines Verantwortlichen.;Ein Auftragsverarbeiter verarbeitet nicht personenbezogene Daten im Auftrag eines Verantwortlichen.;Ein Auftragsverarbeiter verarbeitet personenbezogene Daten im Auftrag eines Verantwortlichen nicht.
Was bedeutet Datenschutzverletzung?;Eine Datenschutzverletzung ist beispielsweise die unbefugte Offenlegung, Veränderung oder der Verlust personenbezogener Daten.;Eine Datenschutzverletzung ist nicht beispielsweise die unbefugte Offenlegung, Veränderung oder der Verlust personenbezogener Daten.;Eine Datenschutzverletzung ist beispielsweise die unbefugte Offenlegung, Veränderung und der Verlust personenbezogener Daten.;Eine Datenschutzverletzung ist ausschließlich beispielsweise die unbefugte Offenlegung, Veränderung oder der Verlust personenbezogener Daten.
Was ist eine Lizenz?;Eine Lizenz legt fest, unter welchen Bedingungen Software oder andere Werke genutzt werden dürfen.;Eine Lizenz hebt auf, unter welchen Bedingungen Software oder andere Werke genutzt werden dürfen.;Eine Lizenz legt fest, unter welchen Bedingungen Software oder andere Werke genutzt werden nicht dürfen.;Eine Lizenz legt fest, unter welchen Bedingungen Software und andere Werke genutzt werden dürfen.
Was ist ein SLA aus wirtschaftlicher Sicht?;Ein SLA definiert messbare Leistungszusagen zwischen Dienstleister und Kunde.;Ein SLA ignoriert messbare Leistungszusagen zwischen Dienstleister und Kunde.;Ein SLA definiert nicht messbare Leistungszusagen zwischen Dienstleister und Kunde.;Ein SLA definiert messbare Leistungszusagen zwischen Dienstleister oder Kunde.
Was ist Total Cost of Ownership?;TCO umfasst die gesamten Kosten eines Produkts oder Systems über seinen Lebenszyklus.;TCO schließt aus die gesamten Kosten eines Produkts oder Systems über seinen Lebenszyklus.;TCO umfasst die gesamten Kosten eines Produkts und Systems über seinen Lebenszyklus.;TCO umfasst die gesamten Kosten eines Produkts oder Systems über seinen Lebenszyklus nicht.
Was ist eine Nutzwertanalyse?;Eine Nutzwertanalyse vergleicht Alternativen anhand gewichteter Kriterien.;Eine Nutzwertanalyse vergleicht Alternativen anhand gewichteter Kriterien nicht.;Kein Nutzwertanalyse vergleicht Alternativen anhand gewichteter Kriterien.;Eine nicht-Nutzwertanalyse vergleicht Alternativen anhand gewichteter Kriterien.
