Frage;Antwort;FalscheAntwort1;FalscheAntwort2;FalscheAntwort3
Was ist HTML?;HTML beschreibt die Struktur und Bedeutung von Inhalten einer Webseite.;HTML verschweigt die Struktur und Bedeutung von Inhalten einer Webseite.;HTML beschreibt nicht die Struktur und Bedeutung von Inhalten einer Webseite.;HTML beschreibt die Struktur oder Bedeutung von Inhalten einer Webseite.
Was ist CSS?;CSS beschreibt die Gestaltung und Darstellung von HTML-Inhalten.;CSS verschweigt die Gestaltung und Darstellung von HTML-Inhalten.;CSS beschreibt nicht die Gestaltung und Darstellung von HTML-Inhalten.;CSS beschreibt die Gestaltung oder Darstellung von HTML-Inhalten.
Was ist JavaScript?;JavaScript ist eine Programmiersprache, die unter anderem Webseiten interaktiv macht.;JavaScript ist nicht eine Programmiersprache, die unter anderem Webseiten interaktiv macht.;JavaScript ist ausschließlich eine Programmiersprache, die unter anderem Webseiten interaktiv macht.;JavaScript ist eine Programmiersprache nicht, die unter anderem Webseiten interaktiv macht.
Was ist eine URL?;Eine URL bezeichnet die Adresse einer Ressource im Netzwerk.;Eine URL versteckt die Adresse einer Ressource im Netzwerk.;Eine URL bezeichnet nicht die Adresse einer Ressource im Netzwerk.;Eine URL bezeichnet die Adresse einer Ressource im Netzwerk nicht.
Was ist ein HTTP-Request?;Ein HTTP-Request ist eine Anfrage eines Clients an einen Server.;Ein HTTPS-Request ist eine Anfrage eines Clients an einen Server.;Ein HTTP-Request ist nicht eine Anfrage eines Clients an einen Server.;Ein HTTP-Request ist ausschließlich eine Anfrage eines Clients an einen Server.
Was ist eine HTTP-Response?;Eine HTTP-Response ist die Antwort eines Servers auf eine HTTP-Anfrage.;Eine HTTPS-Response ist die Antwort eines Servers auf eine HTTP-Anfrage.;Eine HTTP-Response ist die Antwort eines Clients auf eine HTTP-Anfrage.;Eine HTTP-Response ist nicht die Antwort eines Servers auf eine HTTP-Anfrage.
Was bedeutet HTTP 200?;HTTP 200 bedeutet, dass die Anfrage erfolgreich verarbeitet wurde.;HTTP 100 bedeutet, dass die Anfrage erfolgreich verarbeitet wurde.;HTTP 198 bedeutet, dass die Anfrage erfolgreich verarbeitet wurde.;HTTP 199 bedeutet, dass die Anfrage erfolgreich verarbeitet wurde.
Was bedeutet HTTP 404?;HTTP 404 bedeutet, dass die angeforderte Ressource nicht gefunden wurde.;HTTP 202 bedeutet, dass die angeforderte Ressource nicht gefunden wurde.;HTTP 402 bedeutet, dass die angeforderte Ressource nicht gefunden wurde.;HTTP 403 bedeutet, dass die angeforderte Ressource nicht gefunden wurde.
Was bedeutet HTTP 500?;HTTP 500 weist auf einen internen Serverfehler hin.;HTTP 250 weist auf einen internen Serverfehler hin.;HTTP 498 weist auf einen internen Serverfehler hin.;HTTP 499 weist auf einen internen Serverfehler hin.
Was ist REST?;REST ist ein Architekturstil für verteilte Systeme, häufig für Web-APIs.;REST ist nicht ein Architekturstil für verteilte Systeme, häufig für Web-APIs.;REST ist ausschließlich ein Architekturstil für verteilte Systeme, häufig für Web-APIs.;REST ist ein Architekturstil für verteilte Systeme nicht, häufig für Web-APIs.
Was ist eine API?;Eine API ist eine definierte Programmierschnittstelle zur Kommunikation zwischen Softwarekomponenten.;Eine API ist nicht eine definierte Programmierschnittstelle zur Kommunikation zwischen Softwarekomponenten.;Eine API ist ausschließlich eine definierte Programmierschnittstelle zur Kommunikation zwischen Softwarekomponenten.;Eine API ist eine definierte Programmierschnittstelle zur Kommunikation zwischen Softwarekomponenten nicht.
Was ist ein Cookie?;Ein Cookie ist eine kleine Information, die ein Webbrowser für eine Webseite speichern kann.;Ein Cookie ist nicht eine kleine Information, die ein Webbrowser für eine Webseite speichern kann.;Ein Cookie ist ausschließlich eine kleine Information, die ein Webbrowser für eine Webseite speichern kann.;Ein Cookie ist eine kleine Information nicht, die ein Webbrowser für eine Webseite speichern kann.
