Frage;Antwort;FalscheAntwort1;FalscheAntwort2;FalscheAntwort3
Welche drei Schutzziele hat die Informationssicherheit?;Vertraulichkeit, Integrität und Verfügbarkeit.;Vertraulichkeit speichert ausschließlich Passwörter und Zugangsdaten.;Vertraulichkeit ersetzt ein vollständiges Backup aller Dateien.;Vertraulichkeit ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was bedeutet Vertraulichkeit?;Informationen dürfen nur von berechtigten Personen oder Systemen eingesehen werden.;Vertraulichkeit speichert ausschließlich Passwörter und Zugangsdaten.;Vertraulichkeit ersetzt ein vollständiges Backup aller Dateien.;Vertraulichkeit ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was bedeutet Integrität?;Daten müssen vor unbefugter oder unbemerkter Veränderung geschützt sein.;Integrität speichert ausschließlich Passwörter und Zugangsdaten.;Integrität ersetzt ein vollständiges Backup aller Dateien.;Integrität ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was bedeutet Verfügbarkeit?;Systeme und Daten sollen bei Bedarf nutzbar sein.;Verfügbarkeit speichert ausschließlich Passwörter und Zugangsdaten.;Verfügbarkeit ersetzt ein vollständiges Backup aller Dateien.;Verfügbarkeit ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist Authentifizierung?;Authentifizierung ist der Nachweis der Identität eines Benutzers oder Systems.;Authentifizierung speichert ausschließlich Passwörter und Zugangsdaten.;Authentifizierung ersetzt ein vollständiges Backup aller Dateien.;Authentifizierung ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist Autorisierung?;Autorisierung legt fest, welche Aktionen eine authentifizierte Identität ausführen darf.;Autorisierung speichert ausschließlich Passwörter und Zugangsdaten.;Autorisierung ersetzt ein vollständiges Backup aller Dateien.;Autorisierung ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist MFA?;Multi-Faktor-Authentifizierung kombiniert mindestens zwei unterschiedliche Nachweisfaktoren.;MFA speichert ausschließlich Passwörter und Zugangsdaten.;MFA ersetzt ein vollständiges Backup aller Dateien.;MFA ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist ein Hash?;Ein Hash ist ein aus Daten berechneter Wert, der beispielsweise zur Integritätsprüfung verwendet wird.;Hash speichert ausschließlich Passwörter und Zugangsdaten.;Hash ersetzt ein vollständiges Backup aller Dateien.;Hash ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist Verschlüsselung?;Verschlüsselung wandelt Klartext mit einem Verfahren und Schlüssel in nicht direkt lesbaren Chiffretext um.;Verschlüsselung speichert ausschließlich Passwörter und Zugangsdaten.;Verschlüsselung ersetzt ein vollständiges Backup aller Dateien.;Verschlüsselung ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist symmetrische Verschlüsselung?;Bei symmetrischer Verschlüsselung wird derselbe geheime Schlüssel zum Ver- und Entschlüsseln verwendet.;symmetrische Verschlüsselung speichert ausschließlich Passwörter und Zugangsdaten.;symmetrische Verschlüsselung ersetzt ein vollständiges Backup aller Dateien.;symmetrische Verschlüsselung ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist asymmetrische Verschlüsselung?;Sie verwendet ein Schlüsselpaar aus öffentlichem und privatem Schlüssel.;asymmetrische Verschlüsselung speichert ausschließlich Passwörter und Zugangsdaten.;asymmetrische Verschlüsselung ersetzt ein vollständiges Backup aller Dateien.;asymmetrische Verschlüsselung ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist eine Firewall?;Eine Firewall kontrolliert Netzwerkverkehr anhand definierter Regeln.;Firewall speichert ausschließlich Passwörter und Zugangsdaten.;Firewall ersetzt ein vollständiges Backup aller Dateien.;Firewall ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist Phishing?;Phishing versucht, Personen durch Täuschung zur Preisgabe von Informationen oder zur Ausführung schädlicher Aktionen zu bringen.;Phishing speichert ausschließlich Passwörter und Zugangsdaten.;Phishing ersetzt ein vollständiges Backup aller Dateien.;Phishing ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
