Frage;Antwort;FalscheAntwort1;FalscheAntwort2;FalscheAntwort3
Wie viele Bits besitzt eine IPv4-Adresse?;Eine IPv4-Adresse besitzt 32 Bits.;16 Bit;64 Bit;128 Bit
Wie viele Bits besitzt eine IPv6-Adresse?;Eine IPv6-Adresse besitzt 128 Bits.;32 Bit;64 Bit;256 Bit
Was ist eine Subnetzmaske?;Eine Subnetzmaske trennt den Netzanteil vom Hostanteil einer IPv4-Adresse.;CIDR beschreibt IP-Netze mit einer variablen Präfixlänge, beispielsweise /24.;Die Broadcast-Adresse spricht alle Hosts eines IPv4-Subnetzes an.;Eine Subnetzmaske trennt den Netzanteil vom Hostanteil einer IPv2-Adresse.
Was bedeutet /24?;/24 bedeutet, dass 24 Bits für den Netzanteil verwendet werden.;0.0.0.0/0 ist die IPv4-Default-Route und passt auf alle IPv4-Ziele, sofern keine spezifischere Route vorhanden ist.;CIDR bezeichnet IP-Netze mit einer frei wählbaren Präfixlänge, beispielsweise 192.168.10.0/24.;Dual Stack bedeutet, dass ein System IPv4 und IPv6 parallel unterstützt und verwenden kann.
Wie viele nutzbare Hosts hat ein typisches /24-Netz?;Ein klassisches /24-Netz besitzt 254 nutzbare Hostadressen.;126;62;510
Was ist die Netzadresse?;Die Netzadresse bezeichnet das Subnetz und besitzt im Hostanteil nur Nullen.;Die Netzadresse bezeichnet das Subnetz und besitzt keine im Hostanteil nur Nullen.;Die Netzadresse bezeichnet das Subnetz und löscht im Hostanteil nur Nullen.;Die Netzadresse bezeichnet das Subnetz und versteckt im Hostanteil nur Nullen.
Was ist die Broadcast-Adresse?;Die Broadcast-Adresse spricht alle Hosts eines IPv4-Subnetzes an.;"Der IPv4-Loopback-Bereich liegt bei 127.0.0.0/8; 127.0.0.1 wird typischerweise für den lokalen Host verwendet.";APIPA vergibt bei fehlendem DHCP typischerweise eine Adresse aus 169.254.0.0/16.;IPv6-Multicast-Adressen liegen im Bereich ff00::/8 und adressieren eine Gruppe von Teilnehmern.
Was ist eine private IPv4-Adresse?;Private IPv4-Adressen werden in internen Netzen verwendet und sind nicht direkt öffentlich geroutet.;IPv6-Multicast-Adressen liegen im Bereich ff00::/8 und adressieren eine Gruppe von Teilnehmern.;APIPA vergibt bei fehlendem DHCP typischerweise eine Adresse aus 169.254.0.0/16.;"Der IPv4-Loopback-Bereich liegt bei 127.0.0.0/8; 127.0.0.1 wird typischerweise für den lokalen Host verwendet."
Welche privaten IPv4-Bereiche gibt es?;10.0.0.0/8, 172.16.0.0/12 und 192.168.0.0/16.;Die Subnetzmaske lautet 255.255.255.224.;Die Subnetzmaske lautet 255.255.255.192.;Die Subnetzmaske lautet 255.255.255.0.
Was ist APIPA?;APIPA vergibt bei fehlendem DHCP typischerweise eine Adresse aus 169.254.0.0/16.;Die Broadcast-Adresse spricht alle Hosts eines IPv4-Subnetzes an.;IPv6-Multicast-Adressen liegen im Bereich ff00::/8 und adressieren eine Gruppe von Teilnehmern.;"Der IPv4-Loopback-Bereich liegt bei 127.0.0.0/8; 127.0.0.1 wird typischerweise für den lokalen Host verwendet."
Was ist die Standardroute?;Die Standardroute wird verwendet, wenn keine spezifischere Route bekannt ist.;Standardroute speichert ausschließlich Passwörter und Zugangsdaten.;Standardroute ersetzt ein vollständiges Backup aller Dateien.;Standardroute ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist NAT?;NAT übersetzt IP-Adressen, häufig zwischen privaten und öffentlichen Adressbereichen.;NAT speichert ausschließlich Passwörter und Zugangsdaten.;NAT ersetzt ein vollständiges Backup aller Dateien.;NAT ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist IPv6 Link-Local?;Link-Local-Adressen gelten nur innerhalb eines lokalen Netzwerksegments und beginnen typischerweise mit fe80::/10.;Eine IPv4-Adresse besitzt 32 Bits.;Eine IPv6-Adresse besitzt 128 Bits.;Eine Subnetzmaske trennt den Netzanteil vom Hostanteil einer IPv4-Adresse.
Was ist eine IPv6-Global-Unicast-Adresse?;Sie ist eine global routbare IPv6-Adresse.;IPv6-Multicast-Adressen liegen im Bereich ff00::/8 und adressieren eine Gruppe von Teilnehmern.;Eine Link-Local-Adresse liegt im Bereich fe80::/10 und ist nur auf dem lokalen Layer-2-Segment gültig.;"Eine Global-Unicast-Adresse ist eine global routbare IPv6-Adresse; der Bereich liegt grundsätzlich innerhalb von 2000::/3."
Was ist CIDR?;CIDR beschreibt IP-Netze mit einer variablen Präfixlänge, beispielsweise /24.;Die Broadcast-Adresse spricht alle Hosts eines IPv4-Subnetzes an.;CIDR beschreibt IP-Netze mit einer variablen Präfixlänge, beispielsweise /4.;CIDR beschreibt IP-Netze mit einer variablen Präfixlänge, beispielsweise /7.
Wie berechnet man die Anzahl der Adressen eines IPv4-/n-Netzes?;Die Gesamtzahl der IPv4-Adressen beträgt 2^(32-n).;Bei klassischen Subnetzen mit eigener Netz- und Broadcastadresse beträgt die Zahl der nutzbaren Hosts 2^(32-n) - 2.;"Der IPv4-Loopback-Bereich liegt bei 127.0.0.0/8; 127.0.0.1 wird typischerweise für den lokalen Host verwendet.";Die Standardroute wird verwendet, wenn keine spezifischere Route bekannt ist.
Wie berechnet man die Anzahl klassisch nutzbarer Hosts eines IPv4-/n-Netzes?;Bei klassischen Subnetzen mit eigener Netz- und Broadcastadresse beträgt die Zahl der nutzbaren Hosts 2^(32-n) - 2.;Die Gesamtzahl der IPv4-Adressen beträgt 2^(32-n).;Die IPv6-Default-Route wird als ::/0 angegeben.;Bei klassischen Subnetzen mit eigener Netz- und Broadcastadresse beträgt die Zahl der nutzbaren Hosts 1^(32-n) - 2.
Wie viele Adressen besitzt ein /30-Netz?;Ein /30-Netz besitzt 4 IPv4-Adressen, davon sind klassisch 2 als Hostadressen nutzbar.;15;31;60
Wie viele nutzbare Hosts besitzt ein /29-Netz?;Ein /29-Netz besitzt 8 Adressen, davon sind klassisch 6 als Hostadressen nutzbar.;28;30;58
Wie viele nutzbare Hosts besitzt ein /26-Netz?;Ein /26-Netz besitzt 64 Adressen, davon sind klassisch 62 als Hostadressen nutzbar.;13;27;52
Was ist die Netzadresse von 192.168.1.77/24?;Die Netzadresse ist 192.168.1.0.;Die Broadcast-Adresse spricht alle Hosts eines IPv4-Subnetzes an.;CIDR beschreibt IP-Netze mit einer variablen Präfixlänge, beispielsweise /24.;Die Netzadresse ist 4.168.1.0.
Was ist die Broadcastadresse von 192.168.1.77/24?;Die Broadcastadresse ist 192.168.1.255.;Die Netzadresse ist 192.168.1.0.;"Der IPv4-Loopback-Bereich liegt bei 127.0.0.0/8; 127.0.0.1 wird typischerweise für den lokalen Host verwendet.";Die Broadcastadresse ist 4.168.1.255.
Welche klassische Subnetzmaske gehört zu /24?;Die Subnetzmaske lautet 255.255.255.0.;CIDR bezeichnet IP-Netze mit einer frei wählbaren Präfixlänge, beispielsweise 192.168.10.0/24.;CIDR beschreibt IP-Netze mit einer variablen Präfixlänge, beispielsweise /24.;Der Hostanteil umfasst die Bits, die innerhalb des Subnetzes zur Identifikation der einzelnen Hosts verwendet werden.
Welche klassische Subnetzmaske gehört zu /26?;Die Subnetzmaske lautet 255.255.255.192.;CIDR bezeichnet IP-Netze mit einer frei wählbaren Präfixlänge, beispielsweise 192.168.10.0/24.;CIDR beschreibt IP-Netze mit einer variablen Präfixlänge, beispielsweise /24.;Der Hostanteil umfasst die Bits, die innerhalb des Subnetzes zur Identifikation der einzelnen Hosts verwendet werden.
Welche klassische Subnetzmaske gehört zu /27?;Die Subnetzmaske lautet 255.255.255.224.;CIDR bezeichnet IP-Netze mit einer frei wählbaren Präfixlänge, beispielsweise 192.168.10.0/24.;CIDR beschreibt IP-Netze mit einer variablen Präfixlänge, beispielsweise /24.;Der Hostanteil umfasst die Bits, die innerhalb des Subnetzes zur Identifikation der einzelnen Hosts verwendet werden.
Was bedeutet CIDR?;CIDR bezeichnet IP-Netze mit einer frei wählbaren Präfixlänge, beispielsweise 192.168.10.0/24.;Die Broadcast-Adresse spricht alle Hosts eines IPv4-Subnetzes an.;CIDR bezeichnet IP-Netze mit einer frei wählbaren Präfixlänge, beispielsweise 4.168.10.0/24.;CIDR bezeichnet IP-Netze mit einer frei wählbaren Präfixlänge, beispielsweise 7.168.10.0/24.
Was ist eine Supernetzung?;Supernetzung fasst mehrere zusammenhängende kleinere IP-Netze zu einem größeren Präfix zusammen.;Supernetzung speichert ausschließlich Passwörter und Zugangsdaten.;Supernetzung ersetzt ein vollständiges Backup aller Dateien.;Supernetzung ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist 127.0.0.1?;127.0.0.1 ist die IPv4-Loopback-Adresse des lokalen Rechners.;::1 ist die IPv6-Loopback-Adresse des lokalen Rechners.;Port Address Translation erweitert NAT, indem mehrere interne Verbindungen über unterschiedliche Portnummern eine gemeinsame öffentliche IPv4-Adresse verwenden.;4.0.0.1 ist die IPv4-Loopback-Adresse des lokalen Rechners.
Was ist ::1?;::1 ist die IPv6-Loopback-Adresse des lokalen Rechners.;Port Address Translation erweitert NAT, indem mehrere interne Verbindungen über unterschiedliche Portnummern eine gemeinsame öffentliche IPv4-Adresse verwenden.;NAT44 übersetzt IPv4-Adressen zwischen verschiedenen IPv4-Adressbereichen, häufig zwischen privaten und öffentlichen Adressen.;::2 ist die IPv6-Loopback-Adresse des lokalen Rechners.
Was ist 0.0.0.0?;0.0.0.0 bezeichnet in IPv4 je nach Kontext den undefinierten oder beliebigen Host bzw. in Routing die Default-Route 0.0.0.0/0.;::1 ist die IPv6-Loopback-Adresse des lokalen Rechners.;Port Address Translation erweitert NAT, indem mehrere interne Verbindungen über unterschiedliche Portnummern eine gemeinsame öffentliche IPv4-Adresse verwenden.;1.0.0.0 bezeichnet in IPv4 je nach Kontext den undefinierten oder beliebigen Host bzw. in Routing die Default-Route 0.0.0.0/0.
Was bedeutet 0.0.0.0/0?;0.0.0.0/0 ist die IPv4-Default-Route und passt auf alle IPv4-Ziele, sofern keine spezifischere Route vorhanden ist.;CIDR bezeichnet IP-Netze mit einer frei wählbaren Präfixlänge, beispielsweise 192.168.10.0/24.;/24 bedeutet, dass 24 Bits für den Netzanteil verwendet werden.;Dual Stack bedeutet, dass ein System IPv4 und IPv6 parallel unterstützt und verwenden kann.
Was ist die IPv6-Default-Route?;Die IPv6-Default-Route wird als ::/0 angegeben.;SLAAC ermöglicht IPv6-Hosts, ihre Adresse und Präfixinformationen anhand von Router Advertisements automatisch zu konfigurieren.;IPv6-Multicast-Adressen liegen im Bereich ff00::/8 und adressieren eine Gruppe von Teilnehmern.;Sie ist eine global routbare IPv6-Adresse.
Was ist eine IPv6-Multicast-Adresse?;IPv6-Multicast-Adressen liegen im Bereich ff00::/8 und adressieren eine Gruppe von Teilnehmern.;Private IPv4-Adressen werden in internen Netzen verwendet und sind nicht direkt öffentlich geroutet.;APIPA vergibt bei fehlendem DHCP typischerweise eine Adresse aus 169.254.0.0/16.;"Der IPv4-Loopback-Bereich liegt bei 127.0.0.0/8; 127.0.0.1 wird typischerweise für den lokalen Host verwendet."
Was ist eine IPv6 Link-Local-Adresse?;Eine Link-Local-Adresse liegt im Bereich fe80::/10 und ist nur auf dem lokalen Layer-2-Segment gültig.;Eine IPv4-Adresse besitzt 32 Bits.;Eine IPv6-Adresse besitzt 128 Bits.;Eine Subnetzmaske trennt den Netzanteil vom Hostanteil einer IPv4-Adresse.
Was ist eine IPv6 Global Unicast-Adresse?;"Eine Global-Unicast-Adresse ist eine global routbare IPv6-Adresse; der Bereich liegt grundsätzlich innerhalb von 2000::/3.";Eine Link-Local-Adresse liegt im Bereich fe80::/10 und ist nur auf dem lokalen Layer-2-Segment gültig.;Link-Local-Adressen gelten nur innerhalb eines lokalen Netzwerksegments und beginnen typischerweise mit fe80::/10.;Eine IPv4-Adresse besitzt 32 Bits.
Was ist SLAAC?;SLAAC ermöglicht IPv6-Hosts, ihre Adresse und Präfixinformationen anhand von Router Advertisements automatisch zu konfigurieren.;Die IPv6-Default-Route wird als ::/0 angegeben.;Sie ist eine global routbare IPv6-Adresse.;Link-Local-Adressen gelten nur innerhalb eines lokalen Netzwerksegments und beginnen typischerweise mit fe80::/10.
Was ist DHCPv6?;DHCPv6 ist ein Protokoll zur automatischen Bereitstellung von IPv6-Konfigurationsinformationen durch einen DHCPv6-Server.;::1 ist die IPv6-Loopback-Adresse des lokalen Rechners.;Port Address Translation erweitert NAT, indem mehrere interne Verbindungen über unterschiedliche Portnummern eine gemeinsame öffentliche IPv4-Adresse verwenden.;NAT44 übersetzt IPv4-Adressen zwischen verschiedenen IPv4-Adressbereichen, häufig zwischen privaten und öffentlichen Adressen.
Was ist NAT44?;NAT44 übersetzt IPv4-Adressen zwischen verschiedenen IPv4-Adressbereichen, häufig zwischen privaten und öffentlichen Adressen.;::1 ist die IPv6-Loopback-Adresse des lokalen Rechners.;Port Address Translation erweitert NAT, indem mehrere interne Verbindungen über unterschiedliche Portnummern eine gemeinsame öffentliche IPv4-Adresse verwenden.;NAT4 übersetzt IPv4-Adressen zwischen verschiedenen IPv4-Adressbereichen, häufig zwischen privaten und öffentlichen Adressen.
Was ist PAT?;Port Address Translation erweitert NAT, indem mehrere interne Verbindungen über unterschiedliche Portnummern eine gemeinsame öffentliche IPv4-Adresse verwenden.;::1 ist die IPv6-Loopback-Adresse des lokalen Rechners.;NAT44 übersetzt IPv4-Adressen zwischen verschiedenen IPv4-Adressbereichen, häufig zwischen privaten und öffentlichen Adressen.;DHCPv6 ist ein Protokoll zur automatischen Bereitstellung von IPv6-Konfigurationsinformationen durch einen DHCPv6-Server.
Was ist Private Address Space?;Private IPv4-Netze sind 10.0.0.0/8, 172.16.0.0/12 und 192.168.0.0/16.;::1 ist die IPv6-Loopback-Adresse des lokalen Rechners.;DHCPv6 ist ein Protokoll zur automatischen Bereitstellung von IPv6-Konfigurationsinformationen durch einen DHCPv6-Server.;Private IPv2-Netze sind 10.0.0.0/8, 172.16.0.0/12 und 192.168.0.0/16.
Was bedeutet Dual Stack?;Dual Stack bedeutet, dass ein System IPv4 und IPv6 parallel unterstützt und verwenden kann.;SLAAC ermöglicht IPv6-Hosts, ihre Adresse und Präfixinformationen anhand von Router Advertisements automatisch zu konfigurieren.;Die IPv6-Default-Route wird als ::/0 angegeben.;Sie ist eine global routbare IPv6-Adresse.
