Frage;Antwort;FalscheAntwort1;FalscheAntwort2;FalscheAntwort3
Was bedeutet ITSM?;IT-Service-Management umfasst Planung, Bereitstellung, Betrieb und Verbesserung von IT-Services.;ITSM speichert ausschließlich Passwörter und Zugangsdaten.;ITSM ersetzt ein vollständiges Backup aller Dateien.;ITSM ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist ITIL?;ITIL ist ein Framework mit bewährten Praktiken für IT-Service-Management.;ITIL speichert ausschließlich Passwörter und Zugangsdaten.;ITIL ersetzt ein vollständiges Backup aller Dateien.;ITIL ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist ein Incident?;Ein Incident ist eine ungeplante Unterbrechung oder Qualitätsminderung eines IT-Services.;Incident speichert ausschließlich Passwörter und Zugangsdaten.;Incident ersetzt ein vollständiges Backup aller Dateien.;Incident ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist Incident Management?;Incident Management zielt darauf, den normalen Servicebetrieb möglichst schnell wiederherzustellen.;Incident Management speichert ausschließlich Passwörter und Zugangsdaten.;Incident Management ersetzt ein vollständiges Backup aller Dateien.;Incident Management ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist ein Problem im ITSM?;Ein Problem ist die Ursache oder mögliche Ursache eines oder mehrerer Incidents.;Problem im ITSM speichert ausschließlich Passwörter und Zugangsdaten.;Problem im ITSM ersetzt ein vollständiges Backup aller Dateien.;Problem im ITSM ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist Problem Management?;Problem Management untersucht Ursachen und reduziert das erneute Auftreten von Incidents.;Problem Management speichert ausschließlich Passwörter und Zugangsdaten.;Problem Management ersetzt ein vollständiges Backup aller Dateien.;Problem Management ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist Change Management?;Change Management steuert Änderungen, um Risiken und Serviceunterbrechungen zu reduzieren.;Change Management speichert ausschließlich Passwörter und Zugangsdaten.;Change Management ersetzt ein vollständiges Backup aller Dateien.;Change Management ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist ein Service Level Agreement?;Ein SLA ist eine Vereinbarung über Umfang und Qualitätsziele eines Services.;Service Level Agreement speichert ausschließlich Passwörter und Zugangsdaten.;Service Level Agreement ersetzt ein vollständiges Backup aller Dateien.;Service Level Agreement ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist ein Service Desk?;Der Service Desk ist eine zentrale Anlaufstelle für Benutzeranfragen und Störungen.;Service Desk speichert ausschließlich Passwörter und Zugangsdaten.;Service Desk ersetzt ein vollständiges Backup aller Dateien.;Service Desk ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist eine Eskalation?;Eine Eskalation übergibt einen Vorgang an eine höhere fachliche oder organisatorische Ebene.;Eskalation speichert ausschließlich Passwörter und Zugangsdaten.;Eskalation ersetzt ein vollständiges Backup aller Dateien.;Eskalation ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist eine Priorität?;Die Priorität ergibt sich typischerweise aus Auswirkung und Dringlichkeit eines Vorgangs.;Priorität speichert ausschließlich Passwörter und Zugangsdaten.;Priorität ersetzt ein vollständiges Backup aller Dateien.;Priorität ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist eine Wissensdatenbank?;Eine Wissensdatenbank sammelt dokumentierte Lösungen, Anleitungen und Informationen.;Wissensdatenbank speichert ausschließlich Passwörter und Zugangsdaten.;Wissensdatenbank ersetzt ein vollständiges Backup aller Dateien.;Wissensdatenbank ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist ein KPI?;Ein KPI ist eine Kennzahl zur Messung eines definierten Leistungs- oder Erfolgsziels.;KPI speichert ausschließlich Passwörter und Zugangsdaten.;KPI ersetzt ein vollständiges Backup aller Dateien.;KPI ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was bedeutet Verfügbarkeit?;Verfügbarkeit beschreibt den Anteil der Zeit, in der ein Service nutzbar ist.;Verfügbarkeit speichert ausschließlich Passwörter und Zugangsdaten.;Verfügbarkeit ersetzt ein vollständiges Backup aller Dateien.;Verfügbarkeit ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist ein Ticket?;Ein Ticket dokumentiert und verfolgt eine Anfrage, Störung oder Aufgabe.;Ticket speichert ausschließlich Passwörter und Zugangsdaten.;Ticket ersetzt ein vollständiges Backup aller Dateien.;Ticket ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist ein Service Request?;Ein Service Request ist eine standardisierte Benutzeranfrage, beispielsweise die Bestellung eines Kontos oder einer Software.;Service Request speichert ausschließlich Passwörter und Zugangsdaten.;Service Request ersetzt ein vollständiges Backup aller Dateien.;Service Request ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist ein Event im ITSM?;Ein Event ist eine Zustands- oder Statusänderung, die für den Betrieb eines IT-Services relevant sein kann.;Event im ITSM speichert ausschließlich Passwörter und Zugangsdaten.;Event im ITSM ersetzt ein vollständiges Backup aller Dateien.;Event im ITSM ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist ein Major Incident?;Ein Major Incident ist ein Incident mit besonders großer Auswirkung auf Geschäftsprozesse oder eine große Anzahl von Benutzern.;Major Incident speichert ausschließlich Passwörter und Zugangsdaten.;Major Incident ersetzt ein vollständiges Backup aller Dateien.;Major Incident ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist eine Workaround?;Ein Workaround ist eine vorläufige Lösung, die die Auswirkungen eines Problems reduziert, ohne dessen Ursache vollständig zu beseitigen.;Workaround speichert ausschließlich Passwörter und Zugangsdaten.;Workaround ersetzt ein vollständiges Backup aller Dateien.;Workaround ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist ein Known Error?;Ein Known Error ist ein dokumentiertes Problem, dessen Ursache bekannt ist, für das aber gegebenenfalls noch keine endgültige Lösung umgesetzt wurde.;Known Error speichert ausschließlich Passwörter und Zugangsdaten.;Known Error ersetzt ein vollständiges Backup aller Dateien.;Known Error ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist ein SLA?;Ein Service Level Agreement definiert zwischen Kunde und Serviceanbieter vereinbarte Leistungen und messbare Qualitätsziele.;SLA speichert ausschließlich Passwörter und Zugangsdaten.;SLA ersetzt ein vollständiges Backup aller Dateien.;SLA ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist ein OLA?;Ein Operational Level Agreement ist eine interne Vereinbarung zwischen IT-Einheiten über zur Erfüllung eines Services benötigte Leistungen.;OLA speichert ausschließlich Passwörter und Zugangsdaten.;OLA ersetzt ein vollständiges Backup aller Dateien.;OLA ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist ein Underpinning Contract?;Ein Underpinning Contract ist eine Vereinbarung mit einem externen Lieferanten, deren Leistungen zur Erfüllung eines Services beitragen.;Underpinning Contract speichert ausschließlich Passwörter und Zugangsdaten.;Underpinning Contract ersetzt ein vollständiges Backup aller Dateien.;Underpinning Contract ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Wie wird Priorität bei Incidents typischerweise bestimmt?;Die Priorität wird häufig aus Auswirkung und Dringlichkeit des Incidents abgeleitet.;Ein Emergency Change ist eine dringende Änderung, die wegen eines hohen Risikos oder einer kritischen Störung beschleunigt behandelt werden muss.;Die speichert ausschließlich Passwörter und Zugangsdaten.;Die ersetzt ein vollständiges Backup aller Dateien.
Was ist Impact?;Impact beschreibt die Auswirkung eines Vorfalls auf Benutzer, Geschäftsprozesse oder den Service.;Impact speichert ausschließlich Passwörter und Zugangsdaten.;Impact ersetzt ein vollständiges Backup aller Dateien.;Impact ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist Urgency?;Urgency beschreibt, wie schnell ein Problem bearbeitet werden muss, um relevante Auswirkungen zu vermeiden oder zu begrenzen.;Urgency speichert ausschließlich Passwörter und Zugangsdaten.;Urgency ersetzt ein vollständiges Backup aller Dateien.;Urgency ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist eine funktionale Eskalation?;Eine funktionale Eskalation gibt einen Vorgang an eine fachlich oder technisch spezialisiertere Supportgruppe weiter.;funktionale Eskalation speichert ausschließlich Passwörter und Zugangsdaten.;funktionale Eskalation ersetzt ein vollständiges Backup aller Dateien.;funktionale Eskalation ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist eine hierarchische Eskalation?;Eine hierarchische Eskalation bindet eine höhere Management- oder Entscheidungsebene ein.;hierarchische Eskalation speichert ausschließlich Passwörter und Zugangsdaten.;hierarchische Eskalation ersetzt ein vollständiges Backup aller Dateien.;hierarchische Eskalation ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist eine CMDB?;Eine Configuration Management Database verwaltet Informationen über Configuration Items und deren Beziehungen.;Eine Configuration Management Database ignoriert Informationen über Configuration Items und deren Beziehungen.;Eine Configuration Management Database blockiert Informationen über Configuration Items und deren Beziehungen.;Eine Configuration Management Database löscht Informationen über Configuration Items und deren Beziehungen.
Was ist ein Configuration Item (CI)?;Ein Configuration Item ist eine verwaltete Komponente, die zur Bereitstellung eines Services beiträgt, beispielsweise Server, Software oder Dokumentation.;Ein Configuration Item ist eine ignorierte Komponente, die zur Bereitstellung eines Services beiträgt, beispielsweise Server, Software oder Dokumentation.;Ein Configuration Item ist eine blockierte Komponente, die zur Bereitstellung eines Services beiträgt, beispielsweise Server, Software oder Dokumentation.;Ein Configuration Item ist eine löschte Komponente, die zur Bereitstellung eines Services beiträgt, beispielsweise Server, Software oder Dokumentation.
Was ist IT-Asset-Management?;IT-Asset-Management verwaltet IT-Assets über ihren Lebenszyklus, einschließlich Beschaffung, Nutzung, Wartung und Ausmusterung.;IT-Asset-Management ignoriert IT-Assets über ihren Lebenszyklus, einschließlich Beschaffung, Nutzung, Wartung und Ausmusterung.;IT-Asset-Management blockiert IT-Assets über ihren Lebenszyklus, einschließlich Beschaffung, Nutzung, Wartung und Ausmusterung.;IT-Asset-Management löscht IT-Assets über ihren Lebenszyklus, einschließlich Beschaffung, Nutzung, Wartung und Ausmusterung.
Was ist Release Management?;Release Management plant und steuert die Bereitstellung neuer oder geänderter Services und Komponenten.;Release Management plant und steuert die Bereitstellung neuer oder gelöschter Services und Komponenten.;Release Management plant und steuert die Bereitstellung neuer oder geerstellter Services und Komponenten.;Release Management plant und steuert die Bereitstellung neuer oder gekopierter Services und Komponenten.
Was ist Deployment Management?;Deployment Management steuert die technische Überführung neuer oder geänderter Komponenten in Zielumgebungen.;Deployment Management steuert die technische Überführung neuer oder gelöschter Komponenten in Zielumgebungen.;Deployment Management steuert die technische Überführung neuer oder geerstellter Komponenten in Zielumgebungen.;Deployment Management steuert die technische Überführung neuer oder gekopierter Komponenten in Zielumgebungen.
Was ist Verfügbarkeitsmanagement?;Verfügbarkeitsmanagement plant und überwacht Maßnahmen zur Erreichung vereinbarter Serviceverfügbarkeit.;Verfügbarkeitsmanagement speichert ausschließlich Passwörter und Zugangsdaten.;Verfügbarkeitsmanagement ersetzt ein vollständiges Backup aller Dateien.;Verfügbarkeitsmanagement ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist Kapazitätsmanagement?;Kapazitätsmanagement stellt sicher, dass IT-Ressourcen die aktuelle und erwartete Nachfrage wirtschaftlich bewältigen können.;Kapazitätsmanagement speichert ausschließlich Passwörter und Zugangsdaten.;Kapazitätsmanagement ersetzt ein vollständiges Backup aller Dateien.;Kapazitätsmanagement ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
