Frage;Antwort;FalscheAntwort1;FalscheAntwort2;FalscheAntwort3
Was bedeutet IT?;IT steht für Informationstechnologie und umfasst die Verarbeitung, Speicherung, Übertragung und Sicherung von Informationen.;IT steht für Informationstechnologie und schließt aus die Verarbeitung, Speicherung, Übertragung und Sicherung von Informationen.;IT steht für Informationstechnologie oder umfasst die Verarbeitung, Speicherung, Übertragung und Sicherung von Informationen.;IT steht für Informationstechnologie und umfasst die Verarbeitung nicht, Speicherung, Übertragung und Sicherung von Informationen.
Was ist Hardware?;Hardware bezeichnet alle physischen Bestandteile eines Computersystems.;Hardware versteckt alle physischen Bestandteile eines Computersystems.;Hardware bezeichnet alle virtuellen Bestandteile eines Computersystems.;Hardware bezeichnet alle physischen Schnittstellen eines Computersystems.
Was ist Software?;Software besteht aus Programmen und den zugehörigen Daten, die auf Hardware ausgeführt werden.;Software besteht nicht aus Programmen und den zugehörigen Daten, die auf Hardware ausgeführt werden.;Software besteht aus Programmen oder den zugehörigen Daten, die auf Hardware ausgeführt werden.;Software besteht aus Programmen und den zugehörigen Daten nicht, die auf Hardware ausgeführt werden.
Was ist Firmware?;Firmware ist dauerhaft oder semipermanent gespeicherte Software, die Hardware direkt steuert.;Firmware ist dauerhaft oder semipermanent gespeicherte Software, die Hardware direkt ignoriert.;Firmware ist nicht dauerhaft oder semipermanent gespeicherte Software, die Hardware direkt steuert.;Firmware ist dauerhaft und semipermanent gespeicherte Software, die Hardware direkt steuert.
Was ist ein Bit?;Ein Bit ist die kleinste digitale Informationseinheit und kann den Wert 0 oder 1 annehmen.;Ein Bit ist die kleinste digitale Informationseinheit und kann den Wert 1 oder 1 annehmen.;Ein Bit ist die kleinste digitale Informationseinheit und kann den Wert 2 oder 1 annehmen.;Ein Bit ist die kleinste digitale Informationseinheit und kann den Wert 0 oder 2 annehmen.
Wie viele Bits sind ein Byte?;Ein Byte besteht aus 8 Bits.;4 Bit;16 Bit;32 Bit
Was ist ein Betriebssystem?;Ein Betriebssystem verwaltet Hardware-Ressourcen und stellt Anwendungen grundlegende Funktionen bereit.;Ein Betriebssystem ignoriert Hardware-Ressourcen und stellt Anwendungen grundlegende Funktionen bereit.;Ein Betriebssystem verwaltet Hardware-Ressourcen und löscht Anwendungen grundlegende Funktionen bereit.;Ein Betriebssystem verwaltet nicht Hardware-Ressourcen und stellt Anwendungen grundlegende Funktionen bereit.
Was ist ein Treiber?;Ein Treiber ermöglicht dem Betriebssystem die Kommunikation mit einer bestimmten Hardwarekomponente.;Ein Treiber verhindert dem Betriebssystem die Kommunikation mit einer bestimmten Hardwarekomponente.;Ein Treiber ermöglicht nicht dem Betriebssystem die Kommunikation mit einer bestimmten Hardwarekomponente.;Ein Treiber ermöglicht dem Betriebssystem die Kommunikation mit einer bestimmten Hardwarekomponente nicht.
Was bedeutet Digitalisierung?;Digitalisierung bezeichnet die Umwandlung analoger Informationen oder Prozesse in digitale Form.;Digitalisierung versteckt die Umwandlung analoger Informationen oder Prozesse in digitale Form.;Digitalisierung bezeichnet nicht die Umwandlung analoger Informationen oder Prozesse in digitale Form.;Digitalisierung bezeichnet die Umwandlung analoger Informationen und Prozesse in digitale Form.
Was ist ein Server?;Ein Server stellt Dienste oder Ressourcen für andere Geräte oder Programme bereit.;Ein Client stellt Dienste oder Ressourcen für andere Geräte oder Programme bereit.;Ein Server löscht Dienste oder Ressourcen für andere Geräte oder Programme bereit.;Ein Server stellt nicht Dienste oder Ressourcen für andere Geräte oder Programme bereit.
Was ist ein Client?;Ein Client nutzt einen Dienst oder eine Ressource, die von einem Server bereitgestellt wird.;Ein Client nutzt einen Dienst oder eine Ressource, die von einem Server bereitgestellt wird nicht.;Ein Client nutzt einen Dienst und eine Ressource, die von einem Server bereitgestellt wird.;Ein Client nutzt einen Dienst oder eine Ressource nicht, die von einem Server bereitgestellt wird.
