Frage;Antwort;FalscheAntwort1;FalscheAntwort2;FalscheAntwort3
Welche Hauptaufgaben hat ein Betriebssystem?;Es verwaltet Prozessor, Arbeitsspeicher, Geräte, Dateien, Benutzer und laufende Prozesse.;Es ignoriert Prozessor, Arbeitsspeicher, Geräte, Dateien, Benutzer und laufende Prozesse.;Es verwaltet nicht Prozessor, Arbeitsspeicher, Geräte, Dateien, Benutzer und laufende Prozesse.;Es verwaltet Prozessor, Arbeitsspeicher, Geräte, Dateien, Benutzer oder laufende Prozesse.
Was ist ein Kernel?;Der Kernel ist der zentrale Bestandteil eines Betriebssystems und vermittelt zwischen Hardware und Software.;Der Kernel ist nicht der zentrale Bestandteil eines Betriebssystems und vermittelt zwischen Hardware und Software.;Der Kernel ist der zentrale Bestandteil eines Betriebssystems oder vermittelt zwischen Hardware und Software.;Der Kernel ist ausschließlich der zentrale Bestandteil eines Betriebssystems und vermittelt zwischen Hardware und Software.
Was ist ein Prozess?;Ein Prozess ist ein laufendes Programm mit eigenem Ressourcen- und Ausführungskontext.;Ein Prozess ist nicht ein laufendes Programm mit eigenem Ressourcen- und Ausführungskontext.;Ein Prozess ist ein laufendes Programm mit eigenem Ressourcen- oder Ausführungskontext.;Ein Prozess ist ausschließlich ein laufendes Programm mit eigenem Ressourcen- und Ausführungskontext.
Was ist ein Thread?;Ein Thread ist ein Ausführungsstrang innerhalb eines Prozesses.;Ein Thread ist nicht ein Ausführungsstrang innerhalb eines Prozesses.;Ein Thread ist ausschließlich ein Ausführungsstrang innerhalb eines Prozesses.;Ein Thread ist ein Ausführungsstrang innerhalb eines Prozesses nicht.
Was ist Multitasking?;Multitasking ermöglicht die scheinbar oder tatsächlich parallele Ausführung mehrerer Aufgaben.;Multitasking verhindert die scheinbar oder tatsächlich parallele Ausführung mehrerer Aufgaben.;Multitasking ermöglicht nicht die scheinbar oder tatsächlich parallele Ausführung mehrerer Aufgaben.;Multitasking ermöglicht die scheinbar und tatsächlich parallele Ausführung mehrerer Aufgaben.
Was ist virtueller Speicher?;Virtueller Speicher erweitert den nutzbaren Adressraum und kann Teile auf einen Datenträger auslagern.;Virtueller Speicher verkleinert den nutzbaren Adressraum und kann Teile auf einen Datenträger auslagern.;Virtueller Speicher erweitert den nutzbaren Adressraum und kann nicht Teile auf einen Datenträger auslagern.;Virtueller Speicher erweitert den nutzbaren Adressraum oder kann Teile auf einen Datenträger auslagern.
Was ist ein Dateisystem?;Ein Dateisystem organisiert und verwaltet Dateien und Verzeichnisse auf einem Speichermedium.;Ein Dateisystem blockiert und verwaltet Dateien und Verzeichnisse auf einem Speichermedium.;Ein Dateisystem organisiert und ignoriert Dateien und Verzeichnisse auf einem Speichermedium.;Ein Dateisystem organisiert und verwaltet nicht Dateien und Verzeichnisse auf einem Speichermedium.
Was ist NTFS?;NTFS ist ein Dateisystem, das unter anderem Berechtigungen, Journaling und große Dateien unterstützt.;NTFS ist nicht ein Dateisystem, das unter anderem Berechtigungen, Journaling und große Dateien unterstützt.;NTFS ist ein Dateisystem, das unter anderem Berechtigungen, Journaling oder große Dateien unterstützt.;NTFS ist ausschließlich ein Dateisystem, das unter anderem Berechtigungen, Journaling und große Dateien unterstützt.
Was ist ext4?;ext4 ist ein Journaling-Dateisystem für Linux. Es organisiert Dateien und Verzeichnisse auf Datenträgern und unterstützt unter anderem Zugriffsrechte, große Dateisysteme und Journaling.;ext2 ist ein Journaling-Dateisystem für Linux. Es organisiert Dateien und Verzeichnisse auf Datenträgern und unterstützt unter anderem Zugriffsrechte, große Dateisysteme und Journaling.;ext3 ist ein Journaling-Dateisystem für Linux. Es organisiert Dateien und Verzeichnisse auf Datenträgern und unterstützt unter anderem Zugriffsrechte, große Dateisysteme und Journaling.;ext5 ist ein Journaling-Dateisystem für Linux. Es organisiert Dateien und Verzeichnisse auf Datenträgern und unterstützt unter anderem Zugriffsrechte, große Dateisysteme und Journaling.
Was bedeutet Benutzerverwaltung?;Benutzerverwaltung umfasst das Anlegen, Ändern und Löschen von Benutzerkonten und deren Rechten.;Benutzerverwaltung schließt aus das Anlegen, Ändern und Löschen von Benutzerkonten und deren Rechten.;Benutzerverwaltung umfasst das Anlegen, Ändern oder Löschen von Benutzerkonten und deren Rechten.;Benutzerverwaltung umfasst das Anlegen nicht, Ändern und Löschen von Benutzerkonten und deren Rechten.
Was ist eine Gruppe im Betriebssystem?;Eine Gruppe fasst Benutzer zusammen, um Berechtigungen einfacher zu verwalten.;Eine Gruppe fasst Benutzer zusammen nicht, um Berechtigungen einfacher zu verwalten.;Eine Gruppe fasst Benutzer zusammen, um Berechtigungen einfacher zu verwalten nicht.;Kein Gruppe fasst Benutzer zusammen, um Berechtigungen einfacher zu verwalten.
Was macht chmod unter Linux?;chmod ändert die Zugriffsrechte von Dateien und Verzeichnissen.;chmod löscht die Zugriffsrechte von Dateien und Verzeichnissen.;chmod ändert die Zugriffsrechte von Dateien oder Verzeichnissen.;chmod ändert die Zugriffsrechte von Dateien und Verzeichnissen nicht.
Was ist ein Dienst?;Ein Dienst ist ein im Hintergrund laufendes Programm, das bestimmte Funktionen bereitstellt.;Ein Dienst ist nicht ein im Hintergrund laufendes Programm, das bestimmte Funktionen bereitstellt.;Ein Dienst ist ausschließlich ein im Hintergrund laufendes Programm, das bestimmte Funktionen bereitstellt.;Ein Dienst ist ein im Hintergrund laufendes Programm nicht, das bestimmte Funktionen bereitstellt.
