Frage;Antwort;FalscheAntwort1;FalscheAntwort2;FalscheAntwort3
Was bedeutet DevOps?;DevOps verbindet Entwicklung und Betrieb durch Zusammenarbeit, Automatisierung und gemeinsame Verantwortung.;DevOps speichert ausschließlich Passwörter und Zugangsdaten.;DevOps ersetzt ein vollständiges Backup aller Dateien.;DevOps ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was bedeutet CI?;Continuous Integration bedeutet, Änderungen regelmäßig in eine gemeinsame Codebasis zu integrieren und automatisiert zu prüfen.;Tracing verfolgt den Ablauf einer Anfrage über mehrere Dienste hinweg und hilft, Laufzeiten und Fehlerursachen zu analysieren.;CI speichert ausschließlich Passwörter und Zugangsdaten.;CI ersetzt ein vollständiges Backup aller Dateien.
Was bedeutet CD?;Continuous Delivery oder Deployment automatisiert die Bereitstellung von Software bis zu einem definierten Ziel.;CD speichert ausschließlich Passwörter und Zugangsdaten.;CD ersetzt ein vollständiges Backup aller Dateien.;CD ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist eine Pipeline?;Eine Pipeline ist eine Folge automatisierter Schritte wie Build, Test und Deployment.;Pipeline speichert ausschließlich Passwörter und Zugangsdaten.;Pipeline ersetzt ein vollständiges Backup aller Dateien.;Pipeline ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist Infrastructure as Code?;Infrastructure as Code beschreibt Infrastruktur durch versionierbare Konfigurationsdateien oder Code.;Infrastructure as Code speichert ausschließlich Passwörter und Zugangsdaten.;Infrastructure as Code ersetzt ein vollständiges Backup aller Dateien.;Infrastructure as Code ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist ein Build?;Ein Build erzeugt aus Quellcode ein ausführbares oder bereitstellbares Softwareartefakt.;Build speichert ausschließlich Passwörter und Zugangsdaten.;Build ersetzt ein vollständiges Backup aller Dateien.;Build ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist ein Unit-Test?;Ein Unit-Test prüft eine kleine, isolierte Programmeinheit.;Ein Unit-Test ignoriert eine kleine, isolierte Programmeinheit.;Ein Unit-Test löscht eine kleine, isolierte Programmeinheit.;Ein Unit-Test startet eine kleine, isolierte Programmeinheit.
Was ist ein Integrationstest?;Ein Integrationstest prüft das Zusammenspiel mehrerer Komponenten.;Ein Integrationstest ignoriert das Zusammenspiel mehrerer Komponenten.;Ein Integrationstest löscht das Zusammenspiel mehrerer Komponenten.;Ein Integrationstest startet das Zusammenspiel mehrerer Komponenten.
Was ist ein Branch in Git?;Ein Branch ist ein unabhängiger Entwicklungszweig innerhalb eines Git-Repositorys.;Branch in Git speichert ausschließlich Passwörter und Zugangsdaten.;Branch in Git ersetzt ein vollständiges Backup aller Dateien.;Branch in Git ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist ein Merge?;Ein Merge führt Änderungen aus verschiedenen Entwicklungszweigen zusammen.;Merge speichert ausschließlich Passwörter und Zugangsdaten.;Merge ersetzt ein vollständiges Backup aller Dateien.;Merge ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist ein Pull Request?;Ein Pull Request ist ein Vorschlag, Änderungen zu prüfen und in einen anderen Branch zu übernehmen.;Pull Request speichert ausschließlich Passwörter und Zugangsdaten.;Pull Request ersetzt ein vollständiges Backup aller Dateien.;Pull Request ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist Automatisierung?;Automatisierung führt wiederkehrende Aufgaben ohne manuelle Einzelschritte aus.;Automatisierung speichert ausschließlich Passwörter und Zugangsdaten.;Automatisierung ersetzt ein vollständiges Backup aller Dateien.;Automatisierung ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was bedeutet DevSecOps?;DevSecOps integriert Sicherheitsaspekte in Entwicklungs- und Betriebsprozesse.;DevSecOps speichert ausschließlich Passwörter und Zugangsdaten.;DevSecOps ersetzt ein vollständiges Backup aller Dateien.;DevSecOps ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist ein Artefakt?;Ein Artefakt ist ein erzeugtes Ergebnis eines Build- oder Entwicklungsprozesses.;Artefakt speichert ausschließlich Passwörter und Zugangsdaten.;Artefakt ersetzt ein vollständiges Backup aller Dateien.;Artefakt ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist Rollback?;Rollback bedeutet, eine Änderung durch Wiederherstellung eines früheren Zustands rückgängig zu machen.;Rollback speichert ausschließlich Passwörter und Zugangsdaten.;Rollback ersetzt ein vollständiges Backup aller Dateien.;Rollback ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist Continuous Delivery?;Continuous Delivery automatisiert Build und Tests und hält Software so bereit, dass sie kontrolliert in Produktion ausgeliefert werden kann.;Continuous Delivery automatisiert Build und Tests und löscht Software so bereit, dass sie kontrolliert in Produktion ausgeliefert werden kann.;Continuous Delivery automatisiert Build und Tests und versteckt Software so bereit, dass sie kontrolliert in Produktion ausgeliefert werden kann.;Continuous Delivery automatisiert Build und Tests und verschlüsselt Software so bereit, dass sie kontrolliert in Produktion ausgeliefert werden kann.
Was ist Continuous Deployment?;Continuous Deployment liefert erfolgreich geprüfte Änderungen automatisch bis in die Produktionsumgebung aus.;Continuous Deployment liefert erfolgreich geignorierte Änderungen automatisch bis in die Produktionsumgebung aus.;Continuous Deployment liefert erfolgreich gelöschte Änderungen automatisch bis in die Produktionsumgebung aus.;Continuous Deployment liefert erfolgreich gestartete Änderungen automatisch bis in die Produktionsumgebung aus.
Was ist ein Repository?;Ein Repository speichert und versioniert Quellcode sowie gegebenenfalls weitere Projektdateien.;Ein Repository löscht und versioniert Quellcode sowie gegebenenfalls weitere Projektdateien.;Ein Repository ignoriert und versioniert Quellcode sowie gegebenenfalls weitere Projektdateien.;Ein Repository sendet unverschlüsselt und versioniert Quellcode sowie gegebenenfalls weitere Projektdateien.
Was ist ein Commit?;Ein Commit speichert einen nachvollziehbaren Änderungsstand im Versionskontrollsystem.;Ein Commit löscht einen nachvollziehbaren Änderungsstand im Versionskontrollsystem.;Ein Commit ignoriert einen nachvollziehbaren Änderungsstand im Versionskontrollsystem.;Ein Commit sendet unverschlüsselt einen nachvollziehbaren Änderungsstand im Versionskontrollsystem.
Was ist ein Branch?;Ein Branch ist ein separater Entwicklungszweig in einem Versionskontrollsystem.;Branch speichert ausschließlich Passwörter und Zugangsdaten.;Branch ersetzt ein vollständiges Backup aller Dateien.;Branch ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist ein Build-Artefakt?;Ein Build-Artefakt ist das erzeugte Ergebnis eines Build-Prozesses, beispielsweise ein Paket, eine Binärdatei oder ein Container-Image.;Build-Artefakt speichert ausschließlich Passwörter und Zugangsdaten.;Build-Artefakt ersetzt ein vollständiges Backup aller Dateien.;Build-Artefakt ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist ein Systemtest?;Ein Systemtest prüft ein vollständiges System gegen definierte Anforderungen.;Ein Systemtest ignoriert ein vollständiges System gegen definierte Anforderungen.;Ein Systemtest löscht ein vollständiges System gegen definierte Anforderungen.;Ein Systemtest startet ein vollständiges System gegen definierte Anforderungen.
Was ist ein Smoke Test?;Ein Smoke Test prüft nach einer Bereitstellung die grundlegenden Funktionen eines Systems, um offensichtliche Fehler schnell zu erkennen.;Ein Smoke Test ignoriert nach einer Bereitstellung die grundlegenden Funktionen eines Systems, um offensichtliche Fehler schnell zu erkennen.;Ein Smoke Test löscht nach einer Bereitstellung die grundlegenden Funktionen eines Systems, um offensichtliche Fehler schnell zu erkennen.;Ein Smoke Test startet nach einer Bereitstellung die grundlegenden Funktionen eines Systems, um offensichtliche Fehler schnell zu erkennen.
Was ist ein Quality Gate?;Ein Quality Gate ist eine definierte Bedingung, die erfüllt sein muss, bevor ein Pipeline-Schritt oder Release fortgesetzt wird.;Quality Gate speichert ausschließlich Passwörter und Zugangsdaten.;Quality Gate ersetzt ein vollständiges Backup aller Dateien.;Quality Gate ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist Linting?;Linting analysiert Quellcode automatisiert auf syntaktische, stilistische oder potenzielle Programmierfehler.;Linting speichert ausschließlich Passwörter und Zugangsdaten.;Linting ersetzt ein vollständiges Backup aller Dateien.;Linting ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was ist Konfigurationsmanagement?;Konfigurationsmanagement erfasst und steuert definierte Systemkonfigurationen über ihren Lebenszyklus.;Konfigurationsmanagement speichert ausschließlich Passwörter und Zugangsdaten.;Konfigurationsmanagement ersetzt ein vollständiges Backup aller Dateien.;Konfigurationsmanagement ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
Was bedeutet Immutable Infrastructure?;Immutable Infrastructure ersetzt bestehende Instanzen bei Änderungen durch neue Instanzen statt Systeme manuell im laufenden Betrieb umzubauen.;Immutable Infrastructure speichert ausschließlich Passwörter und Zugangsdaten.;Immutable Infrastructure ersetzt ein vollständiges Backup aller Dateien.;Immutable Infrastructure ist nur eine mündliche Absprache ohne schriftliche Aufzeichnung.
